ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"68nF"	"C1,C13,C14"	"C0603"	"3"	"CL10B683KB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C31658"	"0.002"
"2"	"100pF"	"C4,C6,C7"	"C0603"	"3"	"CL10C101JB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C14858"	"0.001"
"3"	"4.7nF"	"C9"	"C0603"	"1"	"0603B472K500NT"	"FH(风华)"	"LCSC"	"C53987"	""
"4"	"10nF"	"C10"	"C0603"	"1"	"0603B103K500NT"	"FH(风华)"	"LCSC"	"C57112"	""
"5"	"4.7uF"	"C12"	"C0603"	"1"	"CL10A475KO8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C19666"	"0.002"
"6"	"100k"	"CARR.FREQ,MOD.FREQ,MOD.LVL"	"POT ALPHA RV09AF"	"3"	"RV09AF"	""	""	""	""
"7"	"3.5mm_Audio_Jack_KK"	"CV_FREQ,CV_LVL,CV,OUT"	"PJ-3111-3A"	"4"	"PJ-3111-3A"	"Korean Hroarts Elec"	"LCSC"	"C145817"	"0.029"
"8"	"ARDUINO-NANO"	"M1"	"ARDUINO-NANO-3.0"	"1"	""	""	""	""	""
"9"	"09 18 516 7323"	"P2"	"918516X323"	"1"	""	""	""	""	""
"10"	"1K"	"R1,R2,R3,R7,R11"	"R0603"	"5"	"0603WAF1001T5E"	"Multicomp"	"LCSC"	"C21190"	""
"11"	"100K"	"R6,R10"	"R0603"	"2"	"0603WAF1003T5E"	"UniOhm"	"LCSC"	"C25803"	""
"12"	"100Ω"	"R4"	"R0603"	"1"	"0603WAF1000T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C22775"	""
"13"	"330kΩ"	"R5"	"R0603"	"1"	"0603WAF3303T5E"	"UniOhm"	"LCSC"	"C23137"	""
"14"	"3.9kΩ"	"R9,R14"	"R0603"	"2"	"0603WAF3901T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23018"	""
"15"	"220Ω"	"R13"	"R0603"	"1"	"0603WAF2200T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C22962"	""
"16"	"499K"	"R8"	"R0805"	"1"	"RC0805FR-07499KL"	"YAGEO(国巨)"	"LCSC"	"C274360"	""
"17"	"TL072IDR"	"U1"	"SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"	"1"	"TL072CDT"	"STMicroelectronics"	"LCSC"	"C6961"	"0.045"
